name,price,stock
Bolt Wireless Tablet 5361,1236.73,372
Titan Advanced Lamp 3358,2194.93,203
Quantum Ultra Battery 437,1791.96,216
Pixel Mini NAS 5366,2730.87,208
Orbit Wireless Stylus 1531,243.73,276
Pulse Elite Monitor 9843,1073.99,133
Cobalt Mini GPU 4946,1321.48,243
Pixel Neo UPS 4185,1447.82,196
Surge Mega Speaker 7414,435.24,396
Quantum Pro Flash Drive 5771,1896.37,69
Flux Wireless HDD 3669,2745.75,413
Vortex Gaming Extension Cord 5960,799.43,187
Wave Portable Cable 4092,2358.27,23
TechPro Portable Server Rack 7082,381.82,259
Onyx Slim Hub 7745,1812.26,161
NovaCore Z Backpack 4430,1072.07,10
Zenith Portable Microphone 1045,2130.05,103
Drift X Mouse 4136,1899.25,152
Spark Gaming Router 8258,2006.68,35
Surge Advanced Dock 4879,2706.93,370
Flux Z Switch 4960,2160.42,86
Apex Plus Stand 9206,1655.73,416
Helix Pro Chair 1321,750.18,14
Byte Hyper Monitor 3401,1750.58,355
Bolt Studio Printer 8149,2123.02,278
Nebula Hyper Pad 8411,2012.50,22
Prism Advanced Power Strip 4693,2734.00,315
Helix Office External Drive 6034,27.98,440
Byte X Stand 2921,377.27,48
NovaCore X Backpack 3363,1609.50,180
Apex Ergonomic Memory Card 2526,1053.39,416
NovaCore Neo Extension Cord 3672,1560.63,360
Titan X Case 1763,1033.20,91
Vortex Elite SSD 1818,1229.54,308
Byte Compact Smartphone 2426,91.93,20
Nebula Premium Charger 4682,474.50,139
Onyx X Microphone 1370,1438.38,205
Quantum Elite Monitor 4564,819.75,16
Drift Mega Cable 6280,2605.84,496
Frost Elite Printer 2363,2737.62,249
Cobalt Office Desk 2483,304.64,316
Nimbus Gaming HDD 7353,1578.76,426
Spark Lite Webcam 6543,2541.15,217
Vortex Ergonomic Hub 3599,371.65,313
Vortex Z Sleeve 1969,1743.01,483
Flux Mega Laptop 8856,1450.22,60
Spark Office Scanner 2729,2679.35,37
Nebula Office Desk 1462,1354.12,345
Flux Plus Sleeve 7417,911.21,143
Wave Ergonomic Webcam 9754,1354.66,201
Surge Neo UPS 7122,1306.09,23
Bolt Smart SSD 8651,2252.98,204
Vortex X Speaker 2981,2315.66,100
Nebula Ergonomic Chair 1780,2542.56,8
Spark Max Desk 4342,1772.63,171
Spark Lite CPU 3066,1796.35,476
Wave Mini Adapter 3386,1390.01,78
Helix Plus Mat 9789,920.21,51
Onyx Max Backpack 4114,1702.66,103
Byte Elite Charger 7983,379.09,82
TechPro Essential GPU 9603,989.45,478
Byte Advanced Router 4463,203.83,489
TechPro Neo Smartphone 5068,618.27,201
Drift Z Battery 6217,413.96,220
Flux Plus NAS 3225,2238.07,121
Cipher Max Hub 6840,2113.02,391
Byte Mega SSD 3958,239.36,81
Vertex Ultra Smartphone 1596,1967.24,354
Zenith Advanced Smartphone 5661,1765.86,206
Nimbus Ultra Cable 8263,322.18,35
Aura Plus Modem 6859,849.48,247
NovaCore Wireless Chair 8356,1533.99,487
Orbit Elite Hub 3502,2471.24,95
Nimbus Advanced Fan 8334,728.36,55
Aura Hyper Extension Cord 3272,740.45,458
Drift Wireless Backpack 3505,2749.59,161
Prism Premium Chair 1516,902.99,26
TechPro Mini CPU 3567,1931.45,60
Blaze Portable Memory Card 4204,1164.85,316
Titan Max Charger 4361,723.24,447
Pixel Lite Tablet 845,94.68,330
TechPro Gaming Mat 7237,30.06,264
Aura Plus Desk 4474,1299.48,122
Orbit Max Pad 811,559.11,26
Byte Lite Smartphone 8575,2136.29,325
Apex Mega Projector 3345,1618.29,457
Flux Portable Mat 2697,1898.80,201
Echo Mini Switch 5613,2434.78,124
Aura Max Battery 7545,647.14,179
Pixel Max Motherboard 3292,1897.66,95
Helix Plus HDD 5292,1270.37,162
Helix Advanced Webcam 3259,543.81,302
Pulse Turbo Adapter 5934,2680.86,369
NovaCore Office Router 3462,1728.86,199
Spark Portable Scanner 7671,995.98,89
Pulse Wireless Scanner 9610,2190.30,385
Nimbus Neo Power Strip 8935,2811.90,274
Aura Hyper Server Rack 3603,2931.90,300
Cipher Office Modem 8426,1906.15,303
Cobalt Ultra Power Strip 6606,2777.61,15
Aura Ergonomic RAM 3031,1147.74,446
Wave Slim HDD 7374,2968.20,471
Vortex Z Desk 6913,1411.52,415
Steel Ergonomic Smartphone 7575,2709.65,484
Spark Wireless Cable 3925,1173.92,173
Echo Mega Chair 4892,1991.49,181
Nimbus Mini Motherboard 5086,2331.93,344
Surge Elite Extension Cord 7954,1361.58,178
Vortex Essential SSD 2396,2746.15,289
Surge Mini Extension Cord 3737,1129.77,102
Spark Premium Tablet 7302,1969.37,495
Helix Slim Keyboard 6922,2867.90,275
Frost Pro Webcam 4998,1405.12,327
Onyx Studio Smartphone 4338,2000.92,227
Nebula Advanced Fan 1320,665.83,122
Frost Ergonomic Motherboard 5815,1429.54,377
Nimbus Pro Motherboard 1073,511.25,33
Quantum Pro Tablet 6868,2622.38,252
Vertex Office Memory Card 9608,742.41,416
Steel Mini Speaker 8879,296.24,417
Helix Mega HDD 4252,2733.04,405
Pulse Hyper Case 269,2439.59,203
Pixel Ultra Monitor 6738,2213.19,496
Orbit Premium Surge Protector 9784,57.81,29
Quantum Advanced Router 2709,1896.05,382
TechPro Elite Surge Protector 7974,1485.85,21
Titan Lite Power Strip 9365,1759.18,153
Titan Advanced Router 7354,2072.60,416
Frost Gaming NAS 4396,1922.14,203
Orbit Mini Printer 7671,1184.39,6
Quantum Ultra Backpack 824,2800.08,351
Surge Z Desk 3619,2155.07,25
Frost Wireless Battery 174,2623.82,398
Frost Gaming Mat 5497,2861.53,400
Drift Mini GPU 904,1362.98,483
Cipher Office Printer 2201,1925.67,181
NovaCore Office Surge Protector 763,1608.97,215
Blaze Portable Server Rack 2750,1055.92,185
Nimbus Compact RAM 9444,1133.43,479
Steel Essential Hub 6313,2525.91,271
Quantum X Surge Protector 4025,1875.84,122
Spark Z RAM 7796,853.63,62
Titan Turbo Printer 9512,1293.07,238
Drift Lite Controller 1365,677.93,337
Blaze Mini Fan 3012,209.54,201
Spark Turbo Case 2530,2396.31,22
TechPro Gaming Headphones 6195,1448.92,329
Pulse Premium Stylus 9180,2217.78,89
Vortex Hyper Stand 7059,987.62,120
Spark Smart Headphones 4599,542.94,111
Byte Neo Power Strip 7315,2547.50,187
Quantum Smart Dock 8578,1942.56,128
Frost Ultra Headphones 8065,738.33,61
Wave Premium Charger 3476,2270.11,414
Pulse Ergonomic Controller 1495,2302.62,194
Byte Slim Modem 3161,2909.97,189
Onyx Mini Server Rack 8836,1243.09,121
Cobalt Neo Cooler 8487,2739.62,160
Cobalt Ergonomic CPU 1194,572.03,442
Cipher Neo NAS 9955,2000.46,54
Pixel Slim Case 1178,2570.51,221
Echo Advanced Pad 9484,2620.53,296
Vortex Ergonomic Case 8426,620.95,312
Surge Ultra UPS 5202,210.34,341
Spark Compact Controller 9038,1250.99,91
Bolt Office Modem 2665,618.78,78
Vertex Ultra Fan 154,2372.22,214
Blaze Smart GPU 7902,744.59,42
Apex Premium Fan 2447,1088.81,14
Surge Neo Pad 6778,1194.59,71
